menu_sub_label,menu_master_id,url_path,url_icon,seq_number,is_enabled,is_type_screen,created_by,created_date,modified_by,modified_date
Project Template Status,2,timeline/template-status,fa fa-hourglass-half,1,1,1,System,now(),System,now()
Project Journal Status,2,timeline/journal-status,fa fa-info,2,1,1,System,now(),System,now()
Journal Data Entry,3,assessment/journal-entry,fa fa fa-arrows-h,1,1,1,System,now(),System,now()
Journal Validation - Progressive,3,assessment/progressive-validate,fa fa-arrows-v,2,1,1,System,now(),System,now()
Journal Validation - Non Progressive,3,assessment/nonproressive-validate,fa fa-hand-o-up,3,1,1,System,now(),System,now()
Audit Data Change Log,3,assessment/change-log,fa fa-arrows-v,4,1,1,System,now(),System,now()
Pending Journal Data Entry,3,assessment/pending-entry,fa fa-pause,5,1,1,System,now(),System,now()
Project Templates,4,design/templates,glyphicon glyphicon-book,1,1,1,System,now(),System,now()
Progressive Journal,4,design/progressive,glyphicon glyphicon-modal-window,2,1,1,System,now(),System,now()
Non-Progressive Journal,4,design/non-progressive,glyphicon glyphicon-equalizer,3,1,1,System,now(),System,now()
Change Data Entry Owner,4,design/change-owner,glyphicon glyphicon-modal-window,4,1,1,System,now(),System,now()
Manage Templates,4,design/manage-template,glyphicon glyphicon-equalizer,5,1,1,System,now(),System,now()
Data Attribute Group,5,manage/attribute-group,glyphicon glyphicon-edit,1,1,1,System,now(),System,now()
Progressive Data Attributes,5,manage/data-attribute,glyphicon glyphicon-calendar,2,1,1,System,now(),System,now()
Unit of Measure,5,manage/unit-measure,glyphicon glyphicon-check,3,1,1,System,now(),System,now()
Lookup Data,5,manage/lookup,fa fa-desktop,4,1,1,System,now(),System,now()
Object,6,security/object,glyphicon glyphicon-shopping-cart,1,1,1,System,now(),System,now()
Data Label,6,security/label,glyphicon glyphicon-tags,2,1,1,System,now(),System,now()
Role,6,security/role,fa fa-money,3,1,1,System,now(),System,now()
User,6,security/user,fa fa-users,4,1,1,System,now(),System,now()
Change Password,6,security/user/account/password-change,fa fa-gears,5,1,1,System,now(),System,now()
Photo Report,7,report/photo,glyphicon glyphicon-shopping-cart,1,1,1,System,now(),System,now()